1640;1 (La Defense/Chateau de Vincennes);2.33031418026416;48.8644970966975;Tuileries;PARIS-01ER
1662;1 (La Defense/Chateau de Vincennes);2.38611818658013;48.8472381327386;Reuilly-Diderot;PARIS-12EME
1690;1 (La Defense/Chateau de Vincennes);2.41867310093048;48.8462977572576;Saint-Mande;SAINT-MANDE
1695;1 (La Defense/Chateau de Vincennes);2.36065335403361;48.8551436006388;Saint-Paul (Le Marais);PARIS-04EME
1709;1 (La Defense/Chateau de Vincennes);2.25989172465632;48.8845093796136;Pont de Neuilly;NEUILLY-SUR-SEINE
1716;1 (La Defense/Chateau de Vincennes);2.28183617255428;48.877964502968;Porte Maillot;PARIS-17EME
1733;1 (La Defense/Chateau de Vincennes);2.40888352534985;48.8472657113718;Porte de Vincennes;PARIS-20EME
1758;1 (La Defense/Chateau de Vincennes);2.39590574456544;48.8484657505532;Nation;PARIS-12EME
1774;1 (La Defense/Chateau de Vincennes);2.33581661194832;48.8628468213553;Palais-Royal (Musee du Louvre);PARIS-01ER
1802;1 (La Defense/Chateau de Vincennes);2.27253908542214;48.880901799077;Les Sablons (Jardin d'acclimatation);NEUILLY-SUR-SEINE
1809;1 (La Defense/Chateau de Vincennes);2.34100049025543;48.8605382946574;Louvre-Rivoli;PARIS-01ER
1839;1 (La Defense/Chateau de Vincennes);2.37406590751466;48.8447045450658;Gare de Lyon;PARIS-12EME
1846;1 (La Defense/Chateau de Vincennes);2.30046268343343;48.8719825731694;George V;PARIS-08EME
1850;1 (La Defense/Chateau de Vincennes);2.23788279833084;48.8919344692345;La Defense (Grande Arche);PUTEAUX
1855;1 (La Defense/Chateau de Vincennes);2.35149453979435;48.8567695272423;Hotel de Ville;PARIS-04EME
1885;1 (La Defense/Chateau de Vincennes);2.32329987859148;48.8661829956315;Concorde;PARIS-08EME
1913;1 (La Defense/Chateau de Vincennes);2.25044232471862;48.887843122138;Esplanade de la Defense;PUTEAUX
1924;1 (La Defense/Chateau de Vincennes);2.30830876451203;48.8693052286485;Franklin-Roosevelt;PARIS-08EME
1938;1 (La Defense/Chateau de Vincennes);2.42923849792977;48.8453342425325;Berault;VINCENNES
1949;1 (La Defense/Chateau de Vincennes);2.31395945009909;48.8674114214171;Champs-Elysees-Clemenceau;PARIS-08EME
1953;1 (La Defense/Chateau de Vincennes);2.29576268465124;48.8744076036607;Charles de Gaulle-Etoile;PARIS-08EME
1962;1 (La Defense/Chateau de Vincennes);2.43950970545674;48.8445363116503;Chateau de Vincennes;VINCENNES
1964;1 (La Defense/Chateau de Vincennes);2.34711940104793;48.8585195224421;Chatelet;PARIS-01ER
1986;1 (La Defense/Chateau de Vincennes);2.2893216639617;48.875533092935;Argentine;PARIS-17EME
2000;1 (La Defense/Chateau de Vincennes);2.36918060506559;48.8528417309667;Bastille;PARIS-04EME
1631;10 (Gare d'Austerlitz/Boulogne - Pont de Saint Cloud);2.30782041849586;48.8467524550776;Segur;PARIS-15EME
1632;10 (Gare d'Austerlitz/Boulogne - Pont de Saint Cloud);2.32587286292213;48.8512043552606;Svres-Babylone;PARIS-07EME
