"";"id";"X";"Y";"arret";"ligne";"ville"
"32";11338548;"2.47901539252938";"48.8774940300175";"GABRIEL PERI - DE GAULLE";"102 (BOIS-PERRIER-RER - ROSNY 2/GAMBETTA)";"ROSNY-SOUS-BOIS"
"33";11383123;"2.47432034519393";"48.8796834334128";"SAUSSAIE BEAUCLAIR - DOMUS";"102 (BOIS-PERRIER-RER - ROSNY 2/GAMBETTA)";"ROSNY-SOUS-BOIS"
"34";11383122;"2.47442971107396";"48.8798181167269";"SAUSSAIE BEAUCLAIR - DOMUS";"102 (BOIS-PERRIER-RER - ROSNY 2/GAMBETTA)";"ROSNY-SOUS-BOIS"
"35";11338533;"2.46800420837709";"48.8768235863456";"ETIENNE DOLET";"102 (BOIS-PERRIER-RER - ROSNY 2/GAMBETTA)";"ROSNY-SOUS-BOIS"
"36";11338534;"2.46562552792692";"48.8791538803337";"RUELLE BOISSIERE";"102 (BOIS-PERRIER-RER - ROSNY 2/GAMBETTA)";"ROSNY-SOUS-BOIS"
"37";11338540;"2.48637123096311";"48.8815383159959";"BOIS-PERRIER SUD";"102 (BOIS-PERRIER-RER - ROSNY 2/GAMBETTA)";"ROSNY-SOUS-BOIS"
"38";11338532;"2.46301777116818";"48.8770176866559";"SALVADOR ALLENDE";"102 (BOIS-PERRIER-RER - ROSNY 2/GAMBETTA)";"MONTREUIL"
"39";11338544;"2.48545225112801";"48.8842086775154";"BOIS-PERRIER NORD";"102 (BOIS-PERRIER-RER - ROSNY 2/GAMBETTA)";"ROSNY-SOUS-BOIS"
"40";11337056;"2.45640041610788";"48.8671743732897";"EDOUARD BRANLY";"102 (BOIS-PERRIER-RER - ROSNY 2/GAMBETTA)";"MONTREUIL"
"41";11338547;"2.48435679295746";"48.8775504669613";"VAN DERHEYDEN";"102 (BOIS-PERRIER-RER - ROSNY 2/GAMBETTA)";"ROSNY-SOUS-BOIS"
"42";11338560;"2.41691316007355";"48.8618867910441";"GENERAL DE GAULLE";"102 (BOIS-PERRIER-RER - ROSNY 2/GAMBETTA)";"BAGNOLET"
"43";11383121;"2.46582690201269";"48.8834316009526";"LES GUILLAUMES";"102 (BOIS-PERRIER-RER - ROSNY 2/GAMBETTA)";"NOISY-LE-SEC"
"44";11338538;"2.48033642764976";"48.8772587814304";"GABRIEL PERI - DE GAULLE";"102 (BOIS-PERRIER-RER - ROSNY 2/GAMBETTA)";"ROSNY-SOUS-BOIS"
"45";11338521;"2.40973840695601";"48.8645875893033";"PORTE DE BAGNOLET-METRO";"102 (BOIS-PERRIER-RER - ROSNY 2/GAMBETTA)";"PARIS-20EME"
"46";11337058;"2.44928112576407";"48.8634065813837";"LYCEE JEAN JAURES";"102 (BOIS-PERRIER-RER - ROSNY 2/GAMBETTA)";"MONTREUIL"
"47";11336510;"2.43829459045763";"48.8596686588015";"VICTOR HUGO";"102 (BOIS-PERRIER-RER - ROSNY 2/GAMBETTA)";"MONTREUIL"
"48";11336505;"2.42806326632489";"48.8585175206737";"SORINS";"102 (BOIS-PERRIER-RER - ROSNY 2/GAMBETTA)";"MONTREUIL"
